transaction_id,amount_usd,hour_of_day,txn_velocity_1h,account_age_days,failed_logins_7d,chargebacks_90d,country_mismatch,is_international,device_risk_score,ip_risk_score,merchant_risk_score,fraud
1,15.89,17,1,305,1,0,0,0,0.9,3.3,14.4,0
2,36.32,23,2,2228,1,0,0,0,11.8,12.9,46.6,0
3,6.57,15,1,3431,0,0,0,1,61.2,21.5,26.3,0
4,91.53,19,0,1262,1,0,0,0,18.7,34.5,20.5,0
5,49.93,19,2,1268,0,0,0,0,43.7,8.7,69.7,0
6,23.72,6,1,3639,1,0,0,0,22.5,57.2,18.8,0
7,23.35,7,4,220,1,0,0,0,36.8,19.6,44.7,0
8,38.21,15,3,34,0,0,0,1,22.7,26.8,4.8,0
9,24.19,0,1,155,0,0,1,0,47.2,68.8,39.6,0
10,25.01,5,0,2435,0,0,0,0,30.9,1.3,26.9,0
11,53.31,2,4,2572,0,0,0,0,21.1,3.9,25.0,0
12,45.23,10,3,1303,0,0,0,0,11.5,16.4,24.1,0
13,,16,1,2143,0,0,1,0,14.1,43.7,51.9,0
14,27.98,14,0,1503,0,0,0,0,0.0,0.0,36.8,0
15,34.08,17,4,84,0,0,0,0,33.9,6.9,26.1,0
16,18.33,9,0,64,1,0,0,1,22.0,0.0,56.0,0
17,21.69,2,3,645,0,0,0,0,2.3,0.0,32.2,0
18,46.46,11,0,3155,0,0,0,1,26.9,54.6,15.7,0
19,26.99,21,3,141,0,0,0,0,15.1,28.5,87.5,0
20,9.98,12,1,3235,0,0,0,1,,14.2,50.5,0
21,20.45,17,1,3118,0,0,0,0,0.8,0.0,15.0,0
22,50.67,3,2,3389,0,0,0,0,11.2,31.8,14.2,0
23,24.88,6,0,1981,0,0,0,0,29.3,0.0,9.2,0
24,26.6,6,0,1613,1,1,0,0,9.4,0.0,62.6,0
25,50.07,5,4,810,1,0,0,0,17.4,25.6,33.0,0
26,128.98,13,1,2880,0,0,0,0,9.0,40.9,11.1,0
27,16.94,22,1,81,0,0,0,0,50.3,27.9,66.3,0
28,88.11,14,3,1092,0,0,0,1,25.6,0.0,47.9,0
29,11.2,1,1,2773,0,0,0,0,14.7,6.0,41.0,0
30,34.47,22,2,1203,0,0,0,0,19.2,46.4,36.8,0
31,11.76,2,3,2345,0,0,0,0,,26.8,12.9,0
32,88.34,0,0,1944,0,0,0,0,19.6,4.2,37.2,0
33,58.39,1,0,2497,0,0,0,0,52.5,7.3,26.1,0
34,74.45,22,1,2616,0,0,1,0,0.0,16.8,8.4,0
35,14.75,15,0,1709,0,0,0,0,18.9,2.4,37.6,0
36,51.81,3,0,3191,1,0,0,0,22.8,0.0,22.9,0
37,19.78,21,0,836,0,0,0,0,52.4,41.4,24.2,0
38,20.78,17,0,2744,3,0,0,0,36.1,36.3,41.5,0
39,44.94,21,0,1112,0,0,0,0,40.0,36.3,36.6,0
40,60.42,10,1,2069,1,0,0,0,21.1,2.8,56.4,0
41,35.29,10,2,1620,0,0,0,1,13.4,28.8,32.1,0
42,18.13,23,2,3324,0,0,0,0,21.7,0.0,8.3,0
43,15.48,3,3,2278,0,1,0,0,15.6,9.4,23.8,0
44,95.15,4,0,473,0,0,0,0,43.3,23.0,53.3,0
45,48.19,9,4,974,0,0,0,0,23.6,22.9,4.7,0
46,53.29,1,3,849,0,0,0,1,19.2,2.9,69.8,0
47,171.88,15,1,1339,0,0,0,0,28.0,31.0,34.9,0
48,15.6,13,3,210,2,0,1,0,34.9,37.2,46.5,0
49,232.19,10,1,3013,1,0,0,1,32.8,21.7,0.0,0
50,372.68,18,2,2407,0,0,0,0,9.8,6.3,20.2,0
51,109.37,12,1,814,1,0,0,0,0.0,0.0,11.7,0
52,58.07,19,2,1479,1,1,0,0,33.0,23.7,39.3,0
53,17.62,23,1,1097,0,0,0,0,11.5,0.0,23.1,0
54,66.39,21,1,799,2,0,0,1,67.7,0.0,0.0,0
55,21.03,13,0,3,0,0,0,0,31.8,31.1,36.7,0
56,29.45,16,0,3057,0,0,0,0,28.4,18.3,15.9,0
57,23.75,9,2,1423,0,0,0,0,9.4,33.1,15.8,0
58,37.6,23,2,1503,0,0,0,0,51.6,4.2,50.6,0
59,83.97,6,1,2191,0,0,1,0,18.2,0.0,16.2,0
60,19.21,0,0,739,0,0,0,0,4.0,12.6,61.4,0
61,13.62,9,0,1870,0,0,0,0,36.6,0.0,16.5,0
62,13.43,8,1,2083,0,0,0,0,36.4,25.8,52.3,0
63,13.81,12,3,3423,0,0,0,1,22.3,6.0,6.7,0
64,9.54,2,3,928,0,0,0,0,16.8,25.8,16.4,0
65,14.43,20,1,3575,0,0,0,0,30.8,7.4,25.9,0
66,84.32,17,1,708,0,0,0,0,6.9,29.9,21.5,0
67,18.64,22,4,2668,0,1,0,0,50.1,1.8,61.0,0
68,36.81,11,2,2529,1,0,0,0,33.0,2.4,31.8,0
69,11.32,5,1,1521,1,0,0,0,49.6,16.9,5.6,0
70,34.32,12,1,3619,0,0,0,1,13.4,0.0,45.9,0
71,7.44,0,3,1733,0,0,0,0,35.9,16.4,10.3,0
72,17.13,6,0,1510,0,0,0,0,29.1,14.9,0.0,0
73,181.93,5,2,2258,0,0,0,0,24.5,3.2,34.1,0
74,18.8,21,3,581,0,0,0,1,18.3,15.3,19.1,0
75,73.4,5,0,409,0,0,0,0,32.9,28.0,14.1,0
76,43.12,11,2,11,1,0,1,0,19.7,38.0,46.3,0
77,26.51,19,1,907,1,0,0,0,18.6,17.8,48.7,0
78,17.78,0,2,2771,0,0,0,0,25.1,35.2,12.4,0
79,83.89,4,2,421,0,0,0,0,21.9,25.2,30.2,0
80,26.0,4,0,3616,0,0,0,0,45.4,8.6,38.3,0
81,101.69,0,0,2436,0,0,0,0,26.6,44.1,31.0,0
82,16.86,14,0,1268,0,0,0,0,47.1,14.4,39.3,0
83,31.37,6,2,2710,0,0,0,0,21.5,14.0,52.8,0
84,43.48,15,4,686,0,0,0,0,7.3,24.6,67.3,0
85,40.39,18,1,1887,0,0,0,0,38.8,9.5,0.0,0
86,11.17,18,2,296,0,0,0,0,18.4,29.7,75.0,0
87,17.61,8,1,2317,1,0,0,0,7.0,18.6,54.9,0
88,25.62,5,2,1450,1,0,0,0,62.1,3.1,19.1,1
